License Year, Hunting District,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bulls,Cows,Calves,Bow,Rifle,Spike Bull Elk,Less than 6 Points,6 or More Points
2004,423,R,303,1390,5,42,22,20,0,12,31,0,18,4
2004,423,SUM,363,1675,5,52,22,26,3,12,40,0,18,4
2004,424,N,66,322,5,10,10,0,0,0,10,7,3,0
2004,424,R,345,1679,5,31,22,5,5,0,31,0,16,6
2004,424,SUM,411,2001,5,40,31,5,5,0,40,7,19,6
2004,425,N,40,224,6,3,0,3,0,0,3,0,0,0
2004,425,R,296,1203,4,76,14,55,8,3,74,3,3,8
2004,425,SUM,335,1427,4,80,14,58,8,3,77,3,3,8
2004,426,N,11,62,5,5,5,0,0,2,3,0,5,0
2004,426,R,92,320,4,19,9,9,2,3,16,0,5,3
2004,426,SUM,103,382,4,24,13,9,2,5,19,0,10,3
2004,432,N,130,779,6,11,3,8,0,0,11,0,3,0
2004,432,R,831,4021,5,106,56,48,0,10,96,17,31,7
2004,432,SUM,961,4800,5,117,59,56,0,10,107,17,34,7
2004,441,N,28,160,6,0,0,0,0,0,0,0,0,0
2004,441,R,304,1925,6,57,25,29,3,11,46,3,11,11
2004,441,SUM,331,2085,6,57,25,29,3,11,46,3,11,11
2004,442,N,226,1306,6,58,36,16,7,7,52,0,26,10
2004,442,R,699,3939,6,76,32,40,5,4,72,0,23,10
2004,442,SUM,925,5245,6,135,68,56,11,11,124,0,48,19
2004,444,N,35,216,6,5,5,0,0,3,2,0,2,3
2004,444,R,170,815,5,28,17,8,3,0,28,6,8,3
2004,444,SUM,205,1030,5,33,22,8,3,3,30,6,10,6
2004,445,N,126,697,6,45,42,3,0,3,42,3,14,21
2004,445,R,447,2090,5,90,48,36,6,7,82,3,23,21
2004,445,SUM,573,2787,5,135,90,39,6,11,124,6,37,42
2004,446,N,167,754,5,69,63,6,0,7,63,0,29,34
2004,446,R,878,4755,5,266,54,190,22,8,258,2,23,29
2004,446,SUM,1044,5509,5,335,117,196,22,14,321,2,52,63
2004,447,N,45,262,6,8,6,2,0,3,5,0,1,5
2004,447,R,550,2972,5,100,64,33,3,30,70,6,10,46
2004,447,SUM,594,3234,5,109,70,35,3,34,75,6,12,51
2004,448,N,177,891,5,20,14,7,0,8,12,2,5,7
2004,448,R,814,4411,5,100,59,38,3,20,80,10,36,11
2004,448,SUM,991,5303,5,120,72,45,3,28,92,12,41,18
